Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,Flag_mustrun,EF,CC,AF
APS_MD,8000.0,0,134556.4771,37.65,NGCT_CCS,1,0,0,0,0.98,1
APS_MD,10000.0,0,196747.09,27.76,NGCC_CCS,1,0,0,0,0.98,1
APS_MD,6000.0,0,97201.13324,5,WindOn,0,1,0,0,0.28,1
APS_MD,6000.0,0,69463.85408,5,SolarPV,0,1,0,0,0.35,1
DPL_MD,8000.0,0,134556.4771,37.65,NGCT_CCS,1,0,0,0,0.98,1
DPL_MD,10000.0,0,196747.09,27.76,NGCC_CCS,1,0,0,0,0.98,1
DPL_MD,6000.0,0,97201.13324,5,WindOn,0,1,0,0,0.28,1
DPL_MD,6000.0,0,260766.0253,5,WindOff,0,1,0,0,0.28,1
DPL_MD,6000.0,0,69463.85408,5,SolarPV,0,1,0,0,0.35,1
BGE,8000.0,0,134556.4771,37.65,NGCT_CCS,1,0,0,0,0.98,1
BGE,10000.0,0,196747.09,27.76,NGCC_CCS,1,0,0,0,0.98,1
BGE,6000.0,0,97201.13324,5,WindOn,0,1,0,0,0.28,1
BGE,6000.0,0,69463.85408,5,SolarPV,0,1,0,0,0.35,1
PEPCO,8000.0,0,134556.4771,37.65,NGCT_CCS,1,0,0,0,0.98,1
PEPCO,10000.0,0,196747.09,27.76,NGCC_CCS,1,0,0,0,0.98,1
PEPCO,6000.0,0,97201.13324,5,WindOn,0,1,0,0,0.28,1
PEPCO,6000.0,0,69463.85408,5,SolarPV,0,1,0,0,0.35,1
