Zone,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MW/yr),Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
DEOK_OH,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
AEP_VA,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
ME_PA,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
DOM_NC,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
JC_NJ,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
PN_PA,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
AP_MD,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
CE_IL,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
ATSI_PA,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
DPL_DE,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
PE_PA,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
PS_NJ,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
BC_MD,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
DAY_OH,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
DPL_MD,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
DUQ_PA,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
EKPC_KY,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
OVEC_OH,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
PN_PA,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
PL_PA,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
PEP_MD,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
RECO_NJ,Battery,80000,20000,0.85,1,108000.58,0.1,0,1,1,1
