Technology,Zone,EC_Category,New_Build,EnergyCapacity (MWh),Capacity (MW)
BES,DEOK_OH,Existing,0,8.0,2.0
BES,DEOK_OH,Existing,0,8.0,2.0
HPS,ME_PA,Existing,0,13400.0,134.0
HPS,ME_PA,Existing,0,13400.0,134.0
HPS,ME_PA,Existing,0,13400.0,134.0
HPS,ME_PA,Existing,0,13400.0,134.0
HPS,ME_PA,Existing,0,13400.0,134.0
HPS,ME_PA,Existing,0,13400.0,134.0
HPS,ME_PA,Existing,0,13400.0,134.0
HPS,ME_PA,Existing,0,13400.0,134.0
HPS,AEP_VA,Existing,0,6600.0,66.0
HPS,AEP_VA,Existing,0,11530.0,115.3
HPS,AEP_VA,Existing,0,6600.0,66.0
HPS,DOM_VA,Existing,0,47700.0,477.0
HPS,DOM_VA,Existing,0,47700.0,477.0
HPS,DOM_VA,Existing,0,47700.0,477.0
HPS,DOM_VA,Existing,0,47700.0,477.0
HPS,DOM_VA,Existing,0,47700.0,477.0
HPS,DOM_VA,Existing,0,47700.0,477.0
BES,DOM_NC,Existing,0,100.0,1.0
HPS,JC_NJ,Existing,0,15100.0,151.0
HPS,JC_NJ,Existing,0,15100.0,151.0
HPS,JC_NJ,Existing,0,15100.0,151.0
HPS,PN_PA,Existing,0,20590.0,205.9
HPS,PN_PA,Existing,0,20590.0,205.9
BES,AP_PA,Existing,0,20.8,10.4
BES,CE_SD,Existing,0,1.6,0.8
BES,CE_IL,Existing,0,40.0,20.0
BES,AEP_WV,Existing,0,32.0,16.0
BES,ATSI_OH,Existing,0,16.0,4.0
BES,AEP_OH,Existing,0,3.2,0.8
BES,DPL_MD,Existing,0,44.0,11.0
BES,CE_IL,Existing,0,79.2,19.8
BES,DEOK_OH,Existing,0,40.0,10.0
BES,AEP_OH,Existing,0,28.0,7.0
BES,AEP_WV,Existing,0,126.0,31.5
BES,CE_IL,Existing,0,79.2,19.8
BES,DEOK_OH,Existing,0,24.0,6.0
BES,JC_NJ,Existing,0,4.0,1.0
BES,PE_PA,Existing,0,24.8,6.2
BES,JC_NJ,Existing,0,79.2,19.8
BES,AE_NJ,Existing,0,79.2,19.8
BES,PS_NJ,Existing,0,4.0,1.0
BES,PS_NJ,Existing,0,4.0,1.0
BES,AP_PA,Existing,0,72.0,18.0
BES,CE_IL,Existing,0,80.0,20.0
BES,DOM_NC,Existing,0,40.0,10.0
BES,JC_NJ,Existing,0,2.4,0.6
Battery,DEOK_OH,Candidate,1,8000.0,2000.0
Battery,AEP_VA,Candidate,1,8000.0,2000.0
Battery,ME_PA,Candidate,1,8000.0,2000.0
Battery,DOM_NC,Candidate,1,8000.0,2000.0
Battery,JC_NJ,Candidate,1,8000.0,2000.0
Battery,PN_PA,Candidate,1,8000.0,2000.0
Battery,AP_MD,Candidate,1,8000.0,2000.0
Battery,CE_IL,Candidate,1,8000.0,2000.0
Battery,ATSI_PA,Candidate,1,8000.0,2000.0
Battery,DPL_DE,Candidate,1,8000.0,2000.0
Battery,PE_PA,Candidate,1,8000.0,2000.0
Battery,PS_NJ,Candidate,1,8000.0,2000.0
Battery,BC_MD,Candidate,1,8000.0,2000.0
Battery,DAY_OH,Candidate,1,8000.0,2000.0
Battery,DPL_MD,Candidate,1,8000.0,2000.0
Battery,DUQ_PA,Candidate,1,8000.0,2000.0
Battery,EKPC_KY,Candidate,1,8000.0,2000.0
Battery,OVEC_OH,Candidate,1,8000.0,2000.0
Battery,PN_PA,Candidate,1,8000.0,2000.0
Battery,PL_PA,Candidate,1,8000.0,2000.0
Battery,PEP_MD,Candidate,1,8000.0,2000.0
Battery,RECO_NJ,Candidate,1,4141.4158160302795,1035.3539540075699
