Zone,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost (M$),Cost ($/MWh),EF,CC,SCR,SDR
DEOK_OH,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
AEP_VA,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
ME_PA,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
DOM_NC,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
JC_NJ,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
PN_PA,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
AP_MD,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
CE_IL,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
ATSI_PA,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
DPL_DE,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
PE_PA,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
PS_NJ,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
BC_MD,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
DAY_OH,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
DPL_MD,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
DUQ_PA,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
EKPC_KY,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
OVEC_OH,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
PN_PA,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
PL_PA,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
PEP_MD,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
RECO_NJ,Battery,400,100,0.9,0.9,3.6,0.1,0,1,1,1
