Zone_id,Demand,State
AE_NJ,2458.08,NJ
AEP_VA,1491.8,VA
AEP_WV,1491.8,WV
AEP_KY,1491.8,KY
AEP_TN,1491.8,TN
AEP_OH,1491.8,OH
AEP_IN,1491.8,IN
AEP_MI,1491.8,MI
AP_MD,2326.75,MD
AP_PA,2326.75,PA
AP_VA,2326.75,VA
AP_WV,2326.75,WV
ATSI_PA,5938.375,PA
ATSI_OH,5938.375,OH
BC_MD,6520,MD
CE_IL,9612.5,IL
DAY_OH,1409,OH
DPL_DE,818.5,DE
DPL_MD,818.5,MD
DOM_NC,4939.77,NC
DOM_VA,4939.77,VA
DEOK_OH,2163.916,OH
DUQ_PA,2714.698,PA
EKPC_KY,3754.848,KY
JC_NJ,2020.196,NJ
ME_PA,3021.278,PA
OVEC_OH,121,OH
PL_PA,7509.746,PA
PE_PA,8582.561,PA
PN_PA,2830.312,PA
PEP_MD,10097.9,MD
PS_NJ,10147,NJ
RECO_NJ,407.437,NJ
