Zone_id,Demand,Area,Flag_MD,State
AE,2458.08,,,NJ
AEP,10442.6,,,VA
AEP,10442.6,,,WV
AEP,10442.6,,,KY
AEP,10442.6,,,TN
AEP,10442.6,,,OH
AEP,10442.6,,,IN
AEP,10442.6,,,MI
AP,9307.7,,,MD
AP,9307.7,,,PA
AP,9307.7,,,VA
AP,9307.7,,,WV
ATSI,11876.75,,,PA
ATSI,11876.75,,,OH
BC,6520,,,MD
CE,9612.5,,,IL
DAY,1409,,,OH
DPL,1637,,,DE
DPL,1637,,,MD
DOM,9879.54,,,NC
DOM,9879.54,,,VA
DEOK,2163.916,,,OH
DUQ,2714.698,,,PA
EKPC,3754.848,,,KY
JC,2020.196,,,NJ
ME,3021.278,,,PA
OVEC,121,,,OH
PL,7509.746,,,PA
PE,8582.561,,,PA
PN,2830.312,,,PA
PEP,10097.9,,,MD
PS,10147,,,NJ
RECO,407.437,,,NJ
